Property_ID,Customer_ID,Project_Name,Property_Type,BHK,City,Locality,Pincode,Latitude,Longitude,Area_sqft,Floor,Total_Floors,Price_per_sqft,Listed_Price,Discount_Pct,Final_Price,Booking_Date,Possession_Date,Customer_Age,Annual_Income,Family_Size,Occupation,Lead_Source,Campaign,Website_Visits,Calls,Site_Visits,Loan_Required,Loan_Amount,Interest_Rate,Loan_Tenure_Years,Amenities,Parking,Furnishing,Facing,Payment_Mode,Sales_Status,Days_to_Sale
SRP100000,CUST100000,Srijan Residency,Apartment,2 BHK,Kolkata,Sonarpur,700019,22.57378,88.374023,983,11,31,6385,6276455,3.18,6076864,1/23/2022,8/13/2022,37,60800,2,Self Employed,Instagram,Festive Offer,7,6,2,Yes,3648000,7.98,20,Clubhouse,Yes,Unfurnished,North,Mixed,Sold,19
SRP100001,CUST100001,Srijan Gardenia,Penthouse,1 BHK,Kolkata,Garia,700107,22.466103,88.526942,1108,5,27,7539,8353212,3.48,8062520,10/31/2023,6/17/2025,21,78100,1,Engineer,Website,Monsoon Offer,8,4,0,Yes,4686000,8.24,15,"Pool,Park",No,Unfurnished,South-East,Mixed,Negotiation,
SRP100002,CUST100002,Srijan Prime,Apartment,2 BHK,Kolkata,Sonarpur,700107,22.699017,88.511045,1465,18,18,7340,10753100,3.57,10369214,10/12/2025,3/7/2026,36,60500,1,IT Professional,Email Campaign,Referral Drive,10,1,0,No,0,0,0,Clubhouse,Yes,Unfurnished,East,Mixed,Negotiation,
SRP100003,CUST100003,Srijan Urban Vista,Apartment,2 BHK,Kolkata,Rajarhat,700124,22.742919,88.353317,996,3,32,7655,7624380,7.85,7025866,10/2/2023,8/31/2024,34,68100,4,Government Employee,Broker,Digital Awareness,8,1,1,Yes,3873184,9.07,25,Swimming Pool,Yes,Fully Furnished,South-East,Self Funded,Sold,78
SRP100004,CUST100004,Srijan Residency,Apartment,4 BHK,Kolkata,EM Bypass,711101,22.699989,88.439394,1295,1,30,4842,6270390,2.85,6091684,1/6/2025,11/15/2025,46,79900,1,IT Professional,Broker,Monsoon Offer,12,2,1,Yes,4571549,7.2,10,Basic,Yes,Fully Furnished,South,Home Loan,Sold,70
SRP100005,CUST100005,Srijan Meadows,Apartment,3 BHK,Kolkata,Ballygunge,711101,22.479439,88.51164,939,17,23,7894,7412466,5.4,7012193,3/26/2024,8/22/2025,40,72800,4,Self Employed,Broker,Summer Sale,8,3,0,Yes,4368000,9.42,10,Swimming Pool,Yes,Unfurnished,East,Home Loan,Available,
SRP100006,CUST100006,Srijan Courtyard,Apartment,1 BHK,Kolkata,Garia,700124,22.564761,88.428061,743,18,20,7672,5700296,4.62,5436942,11/17/2025,6/11/2026,41,101500,2,Self Employed,Walk-in,Festive Offer,7,1,2,Yes,2535883,9.3,20,Park,No,Unfurnished,South-East,Mixed,Negotiation,
SRP100007,CUST100007,Srijan Residency,Plot,2 BHK,Kolkata,Tollygunge,700107,22.69813,88.329937,2635,5,11,5513,14526755,4.89,13816397,1/7/2024,12/19/2024,41,49200,3,Teacher,Email Campaign,Monsoon Offer,8,4,1,Yes,2952000,8.73,15,"Pool,Park",Yes,Semi-Furnished,East,Mixed,Sold,38
SRP100008,CUST100008,Srijan Prime,Plot,4 BHK,Kolkata,Sonarpur,700033,22.55049,88.26406,1602,6,9,4225,6768450,9.44,6129508,7/2/2025,12/11/2025,21,61400,1,Engineer,Facebook,New Year Campaign,7,2,1,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,North-East,Self Funded,Available,
SRP100009,CUST100009,Srijan Urban Vista,Apartment,3 BHK,Kolkata,Salt Lake,700064,22.478994,88.264291,1757,16,16,7149,12560793,4.02,12055849,9/27/2023,8/2/2024,32,102000,4,Government Employee,Property Portal,Summer Sale,3,7,1,Yes,5501841,8.69,25,Park,No,Unfurnished,North,Home Loan,Available,
